ID,Label,Elevation (Ground) (m),Elevation (Rim) (m),X (m),Y (m),Bolted Cover?,Elevation (Invert) (m),Flow (Total In) (m³/h),Flow (Total Out) (m³/h),Hydraulic Grade Line (Out) (m),Hydraulic Grade Line (In) (m),Sanitary Loads,Notes,Population (Local Sanitary) (Capita),Is Active?,MH BY YG
391,MH44,0,0,164053.01,579080.12,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
402,MH45,0,0,164070.47,579077.88,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
413,MH46,0,0,164092.34,579076.94,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
424,MH47,0,0,164116.4,579075.19,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
433,MH48,0,0,163672.58,581221.05,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
435,MH49,0,0,164120.28,579131,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
445,MH50,0,0,163957.61,578825.65,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
446,MH51,0,0,164118.69,579100.91,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
447,MH52,0,0,163959.56,578845.43,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
448,MH53,152.28,152.28,163960.54,578855.86,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
457,MH54,0,0,164023.05,579056.16,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
468,MH55,0,0,164021.83,579036.72,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
479,MH56,0,0,162927.7,579741.12,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
480,MH57,0,0,164021.09,579022.78,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
491,MH58,0,0,164018.38,579000.63,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
502,MH59,0,0,164048.45,579020.26,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
513,MH60,0,0,164067.66,579019.07,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
524,MH61,0,0,164087.78,579017.11,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
535,MH62,0,0,164111.96,579012.95,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
546,MH63,0,0,164002.74,578956.93,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
557,MH64,0,0,164021.64,578955.77,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
568,MH65,0,0,164041.49,578954.35,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
579,MH66,0,0,164081.81,578950.86,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
590,MH67,0,0,162933.64,579740.9,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
591,MH68,0,0,164107.21,578949.45,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
595,MH69,0,0,164873.85,579148.56,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
596,MH70,0,0,164981.32,579367.53,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
597,MH71,0,0,164943.62,579464.64,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
598,MH72,0,0,164905.28,579681.56,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
599,MH73,0,0,164921.29,579605.36,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
600,MH74,0,0,164920.85,579634.92,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),FALSE,
601,MH75,0,0,164966.53,578916.83,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
602,MH76,0,0,164110.42,578985.17,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
603,MH77,0,0,164943.16,578569.67,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
604,MH78,0,0,164045.27,579160.22,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
605,MH79,0,0,164037.01,579144.56,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
606,MH80,0,0,164059.8,579146.98,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
607,MH81,0,0,164041.17,579150.14,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
608,MH82,0,0,164078.07,579140.84,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
609,MH83,0,0,164093.45,579139.22,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
613,MH84,0,0,164115.24,579048.71,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
615,MH85,155.97,155.97,164286.74,579205.26,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
616,MH86,155.84,155.84,164290.97,579215.6,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
617,MH87,155.35,155.35,164301.6,579240.23,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
618,MH88,154.74,154.74,164312.32,579264.94,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
620,MH89,0,0,164294.58,579307.56,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
621,MH90,0,0,164354.25,579282.87,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
622,MH91,0,0,164380.47,579271.04,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
623,MH92,0,0,164415.63,579258.8,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
624,MH93,0,0,164170.72,579011.44,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
625,MH94,0,0,164441.61,579247,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
626,MH95,0,0,164461.54,579238.03,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
627,MH96,0,0,164486.54,579226.92,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
628,MH97,0,0,164514.54,579210.65,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
629,MH98,0,0,164520.37,579186.25,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
630,MH99,0,0,164511.28,579157.59,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
631,MH100,0,0,164502.41,579132.86,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
632,MH101,0,0,164493.85,579111.2,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
633,MH102,0,0,164488.26,579083.64,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
634,MH103,0,0,164484.02,579057.89,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
635,MH104,0,0,164169.4,578986.83,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
636,MH105,0,0,164480.45,579033.9,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
637,MH106,0,0,164458.12,579194.87,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
638,MH107,0,0,164452.14,579178.89,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
639,MH108,0,0,164443.14,579155.24,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
640,MH109,0,0,164433.14,579125.64,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
641,MH110,0,0,164430.55,579112.06,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
642,MH111,0,0,164425.79,579083.01,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
